id,genre
1000284,Drama
1000284,War
1000285,Thriller
1000285,Romance
1000285,Drama
1000286,Fantasy
1000286,Adventure
1000286,Action
1000287,Romance
1000287,Comedy
1000287,Drama
1000288,Action
1000288,Adventure
1000288,Science Fiction
1000289,Animation
1000289,Adventure
1000289,Family
1000289,Action
1000290,Drama
1000290,Comedy
1000291,Adventure
1000291,Action
1000291,Fantasy
1000292,Animation
1000292,Adventure
1000292,Family
1000292,Comedy
1000293,Action
1000293,Adventure
1000293,Drama
1000294,Music
1000294,Drama
1000295,Science Fiction
1000295,Adventure
1000295,Action
1000297,Fantasy
1000297,Comedy
1000297,Adventure
1000297,Family
1000298,Adventure
1000298,Science Fiction
1000298,Action
1000299,Fantasy
1000299,Action
1000299,Adventure
1000300,Family
1000300,Animation
1000300,Comedy
1000301,Drama
1000301,Music
1000303,Fantasy
1000303,Animation
1000303,Adventure
1000303,Family
1000305,Thriller
1000305,Mystery
1000305,Drama
1000307,Action
1000307,Science Fiction
1000307,Adventure
1000308,Thriller
1000308,Science Fiction
1000308,Adventure
1000309,History
1000309,Drama
1000309,Crime
1000310,Horror
1000310,Thriller
1000312,Action
1000312,Thriller
1000312,Crime
1000313,Romance
1000313,Comedy
1000314,Comedy
1000314,Crime
1000314,Adventure
1000314,Action
1000315,Crime
1000315,Drama
1000315,Thriller
1000316,Adventure
1000316,Family
1000316,Comedy
1000316,Animation
1000317,Comedy
1000319,Drama
1000319,Crime
1000320,Fantasy
1000320,Family
1000320,Adventure
1000320,Animation
1000321,Drama
1000321,Horror
1000321,Thriller
1000323,Thriller
1000323,Crime
1000324,Comedy
1000324,Romance
1000324,Drama
1000325,War
1000325,Fantasy
1000325,Drama
1000326,Comedy
1000326,Horror
1000327,Drama
1000327,Comedy
1000328,Thriller
1000328,Crime
1000331,Animation
1000331,Fantasy
1000331,Romance
1000332,Thriller
1000332,Mystery
1000332,Horror
1000332,Drama
1000333,Drama
1000334,Comedy
1000334,Crime
1000335,Thriller
1000335,Horror
1000336,Romance
1000336,Drama
1000336,Fantasy
1000340,Drama
1000340,Comedy
1000341,Comedy
1000341,Action
1000341,Family
1000341,Adventure
1000341,Animation
1000342,Horror
1000342,Science Fiction
1000343,Adventure
1000343,Thriller
1000343,Horror
1000343,Action
1000345,Drama
1000345,Thriller
1000345,War
1000345,History
1000346,Adventure
1000346,Action
1000346,Science Fiction
1000347,Action
1000347,Fantasy
1000347,Adventure
1000348,Crime
1000348,Action
1000348,Drama
1000349,Family
1000349,Fantasy
1000349,Animation
1000350,Drama
1000350,Romance
1000352,Science Fiction
1000352,Action
1000354,Action
1000354,Adventure
1000354,Science Fiction
1000355,Drama
1000358,Drama
1000358,War
1000358,Action
1000359,Comedy
1000359,Romance
1000359,Fantasy
1000360,Adventure
1000360,Comedy
1000360,Fantasy
1000360,Animation
1000360,Family
1000362,Comedy
1000363,Adventure
1000363,Science Fiction
1000363,Comedy
1000365,Music
1000365,Comedy
1000366,Adventure
1000366,Action
1000366,Science Fiction
1000367,Horror
1000367,Science Fiction
1000367,Action
1000368,Drama
1000368,Crime
1000368,Fantasy
1000369,Thriller
1000369,Drama
1000369,Crime
1000370,Crime
1000370,Action
1000370,Thriller
1000371,Thriller
1000371,Crime
1000374,Science Fiction
1000374,Action
1000374,Adventure
1000378,Romance
1000378,Drama
1000378,Comedy
1000379,Action
1000379,Crime
1000380,Family
1000380,Animation
1000380,Adventure
1000380,Fantasy
1000380,Comedy
1000381,Horror
1000381,Mystery
1000381,Thriller
1000383,Horror
1000384,Action
1000384,Adventure
1000384,Fantasy
1000385,Family
1000385,Music
1000385,Animation
1000385,Drama
1000385,Fantasy
1000386,Comedy
1000386,Horror
1000387,Adventure
1000387,Science Fiction
1000387,Action
1000390,Thriller
1000390,Mystery
1000390,Horror
1000392,Fantasy
1000392,Comedy
1000392,Adventure
1000393,Comedy
1000393,Romance
1000393,Animation
1000393,Fantasy
1000393,Family
1000394,Drama
1000394,Comedy
1000395,Drama
1000395,Action
1000395,History
1000396,Crime
1000396,Horror
1000396,Thriller
1000397,Crime
1000397,Thriller
1000397,Action
1000399,Drama
1000399,Romance
1000399,Comedy
1000400,Comedy
1000400,Thriller
1000400,Horror
1000401,Drama
1000401,History
1000405,Thriller
1000405,Drama
1000405,Horror
1000405,Mystery
1000406,Action
1000406,Crime
1000406,Comedy
1000407,Drama
1000407,Science Fiction
1000407,Action
1000408,Family
1000408,Adventure
1000408,Animation
1000409,Crime
1000409,Mystery
1000409,Horror
1000410,Horror
1000410,Science Fiction
1000411,Drama
1000411,Thriller
1000412,Thriller
1000412,Science Fiction
1000412,Action
1000413,Crime
1000413,Comedy
1000413,Action
1000415,Comedy
1000415,Drama
1000416,Music
1000416,Comedy
1000416,Romance
1000417,Horror
1000417,Science Fiction
1000417,Thriller
1000418,Comedy
1000418,Romance
1000419,Action
1000419,Drama
1000419,Science Fiction
1000419,Thriller
1000420,Adventure
1000420,Fantasy
1000420,Drama
1000421,Comedy
1000421,Romance
1000423,Action
1000423,Adventure
1000423,Thriller
1000424,Romance
1000424,Drama
1000424,Fantasy
1000425,Drama
1000426,Action
1000426,Thriller
1000426,Crime
1000428,Drama
1000428,Romance
1000429,Thriller
1000429,Drama
1000429,Science Fiction
1000431,Romance
1000431,Drama
1000433,Thriller
1000433,Drama
1000433,Horror
1000434,Adventure
1000434,Fantasy
1000435,Action
1000435,Thriller
1000436,Horror
1000436,Mystery
1000437,Drama
1000438,Comedy
1000438,Fantasy
1000438,Adventure
1000439,Horror
1000439,Thriller
1000440,Drama
1000440,Comedy
1000444,Adventure
1000444,Science Fiction
1000444,Thriller
1000444,Action
1000446,Adventure
1000446,Thriller
1000446,Action
1000447,History
1000447,Drama
1000448,Adventure
1000448,Comedy
1000448,Family
1000448,Animation
1000449,Comedy
1000449,Animation
1000449,Family
1000449,Fantasy
1000449,Adventure
1000449,Action
1000450,Drama
1000450,Romance
1000450,Comedy
1000453,Crime
